time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-0.0005265508965231401,0.0,0.0005265508965231401,0.0003290943103269626,-0.0005265508965231401,0.00021939620688464173,-0.005792059861754541,-0.0026766337239926287,-0.007591108758208603,-0.0042782260342505134,-0.0030057280343195915,-0.0037516751377273737
0.002,-0.004007223577575164,-0.0005265508965231401,0.003480672681052024,0.002715683585110945,-0.0037878273706905222,0.0012034595510264548,-0.040766576629368716,-0.018697157108511688,-0.05313606170627055,-0.029994498399833956,-0.021105686003984134,-0.026426067236028077
0.004,-0.014471266497960024,-0.004533774474098304,0.009937492023861719,0.010867916131207047,-0.012521859843525787,0.0019813627722652495,-0.1295921196887152,-0.059081074835755164,-0.16729903148188194,-0.09493658633040704,-0.06714522694041351,-0.08403503883098853
0.006,-0.03247758958134363,-0.017096293972161947,0.015381295609181682,0.02725644354109199,-0.02497838899083826,-0.0018554493338755376,-0.249026657787981,-0.11335298502558602,-0.3163609911994954,-0.1814983160293823,-0.12983081525468346,-0.16141314214738076
0.008,-0.04954287803277934,-0.03762286106310409,0.011920016969675259,0.04655284166647787,-0.032800122690534825,-0.013497178304573976,-0.3307888011435685,-0.15160259119333003,-0.4095087013473146,-0.23933357539993733,-0.17492066885629529,-0.21403021405796674
0.01,-0.05344949254809155,-0.054343962992634956,-0.0008944704445433879,0.05633361975918469,-0.028958839360086065,-0.027532091583367075,-0.33944524746831106,-0.15823220962388482,-0.4043826462571351,-0.2422005668508847,-0.18326081598770694,-0.21843941663431893
0.012,-0.04225631468207081,-0.05447610063271828,-0.012219785950647462,0.0495599989063823,-0.017486090651028643,-0.03311729755815599,-0.31036798580729047,-0.14693910321233364,-0.3533969982639705,-0.21499739662853595,-0.16950552922670975,-0.19649639050807344
0.014,-0.026493953538099194,-0.03794681680472008,-0.01145286326662089,0.03224091455214093,-0.009442269677446297,-0.025482953771824874,-0.2949259773195875,-0.137897059332353,-0.32633230624515175,-0.1947965523586607,-0.1574626912986199,-0.18087339314878623
0.016,-0.01840948415529272,-0.017975083743556677,0.00041246079104757013,0.01779880831904514,-0.011046353959309837,-0.010879051037576255,-0.30264089887119,-0.135922416778588,-0.33504090295838707,-0.1910040246192651,-0.15428808769501579,-0.17995478122619732
0.018,-0.02451814353294009,-0.010842368814740594,0.013544458952752615,0.01782544361490917,-0.020513980006561697,-0.0009013153959303672,-0.3114383141731304,-0.13526087467286813,-0.3489152097891961,-0.1921550088194728,-0.15441182980869747,-0.1832340782422413
0.02,-0.03942260161840039,-0.02143916000132864,0.01765602255712525,0.03168253261960822,-0.029805481183695602,-0.003108250997009568,-0.3097377829182876,-0.13412731395720895,-0.34860026656668597,-0.19201462959788834,-0.15613131552033407,-0.18414182294733863
0.022,-0.04560896703518175,-0.03683268529284172,0.008353676525961855,0.043268842892220244,-0.028273146881896853,-0.01478843180531366,-0.30715558405402676,-0.13633659811000526,-0.34160858388047066,-0.19462999863951091,-0.16347632784671504,-0.1860488975030604
0.024,-0.03265808582257319,-0.03970826345020971,-0.007305718299005578,0.03795986737336166,-0.014477973129361686,-0.024682609467489555,-0.3121670060340379,-0.14211220591945592,-0.33944280891025175,-0.2011636907598175,-0.1751180983968551,-0.19122089254894972
0.026,-0.01434141957904479,-0.029141209866737565,-0.014752177206866642,0.022552857329925798,-0.0021904927708391005,-0.024064366037090845,-0.31927816961149347,-0.1453745858067434,-0.3411256741123962,-0.20570721050495153,-0.18257397152896146,-0.19575199083740635
