time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-0.122,-0.098,0.024,0.112,-0.073,-0.039,-0.464,-0.903,-0.844,-0.547,-0.366,-0.166
0.002,-0.117,-0.122,-0.005,0.122,-0.059,-0.063,-0.405,-0.781,-0.747,-0.498,-0.346,-0.166
0.004,-0.068,-0.117,-0.049,0.093,-0.01,-0.083,-0.327,-0.639,-0.63,-0.429,-0.312,-0.142
0.006,-0.044,-0.112,-0.068,0.078,0.01,-0.093,-0.239,-0.498,-0.517,-0.361,-0.268,-0.122
0.008,-0.063,-0.132,-0.068,0.098,0.0,-0.102,-0.185,-0.395,-0.439,-0.312,-0.234,-0.102
0.01,-0.049,-0.122,-0.073,0.088,0.01,-0.098,-0.132,-0.312,-0.371,-0.268,-0.21,-0.083
0.012,-0.015,-0.098,-0.083,0.059,0.034,-0.093,-0.107,-0.268,-0.327,-0.234,-0.185,-0.063
0.014,-0.024,-0.107,-0.083,0.068,0.029,-0.098,-0.083,-0.234,-0.293,-0.21,-0.166,-0.049
0.016,-0.029,-0.102,-0.073,0.068,0.02,-0.088,-0.068,-0.21,-0.259,-0.19,-0.156,-0.039
0.018,-0.029,-0.088,-0.059,0.059,0.015,-0.073,-0.049,-0.181,-0.229,-0.156,-0.137,-0.029
0.02,-0.029,-0.078,-0.049,0.054,0.01,-0.063,-0.034,-0.151,-0.19,-0.127,-0.112,-0.005
0.022,-0.015,-0.078,-0.063,0.049,0.024,-0.073,-0.024,-0.127,-0.161,-0.102,-0.098,0.0
0.024,-0.005,-0.059,-0.054,0.034,0.024,-0.059,-0.02,-0.112,-0.151,-0.093,-0.083,0.0
0.026,-0.029,-0.068,-0.039,0.049,0.005,-0.054,-0.005,-0.098,-0.146,-0.093,-0.083,0.005
0.028,-0.005,-0.073,-0.068,0.039,0.029,-0.073,-0.005,-0.088,-0.142,-0.102,-0.093,-0.005
0.03,-0.029,-0.073,-0.044,0.054,0.005,-0.059,0.01,-0.063,-0.117,-0.088,-0.088,0.0
0.032,-0.029,-0.073,-0.044,0.054,0.005,-0.059,0.02,-0.059,-0.112,-0.083,-0.083,0.005
0.034,-0.024,-0.083,-0.059,0.054,0.015,-0.073,0.029,-0.054,-0.112,-0.083,-0.083,0.0
0.036,0.005,-0.054,-0.059,0.024,0.029,-0.059,0.029,-0.044,-0.098,-0.078,-0.078,0.0
0.038,0.005,-0.044,-0.049,0.02,0.024,-0.049,0.029,-0.034,-0.098,-0.073,-0.078,0.0
0.04,-0.024,-0.063,-0.039,0.044,0.005,-0.054,0.029,-0.029,-0.088,-0.063,-0.073,0.01
0.042,-0.024,-0.059,-0.034,0.044,0.005,-0.049,0.044,-0.005,-0.073,-0.049,-0.054,0.024
0.044,-0.01,-0.054,-0.044,0.034,0.015,-0.049,0.049,0.005,-0.068,-0.044,-0.049,0.034
0.046,-0.01,-0.049,-0.039,0.029,0.015,-0.044,0.044,0.01,-0.063,-0.044,-0.044,0.034
0.048,-0.024,-0.059,-0.034,0.044,0.005,-0.049,0.049,0.02,-0.068,-0.044,-0.039,0.034
0.05,-0.034,-0.073,-0.039,0.054,0.0,-0.059,0.039,0.02,-0.073,-0.049,-0.059,0.02
0.052,-0.005,-0.049,-0.044,0.029,0.02,-0.049,0.049,0.029,-0.059,-0.034,-0.039,0.034
0.054,0.0,-0.044,-0.044,0.024,0.02,-0.044,0.049,0.039,-0.054,-0.034,-0.039,0.034
0.056,-0.005,-0.063,-0.059,0.034,0.024,-0.063,0.039,0.029,-0.063,-0.044,-0.049,0.024
0.058,-0.02,-0.063,-0.044,0.044,0.01,-0.054,0.034,0.034,-0.044,-0.029,-0.044,0.029
0.06,-0.005,-0.068,-0.063,0.039,0.029,-0.068,0.034,0.034,-0.044,-0.029,-0.044,0.029
0.062,0.02,-0.049,-0.068,0.015,0.044,-0.059,0.034,0.039,-0.049,-0.034,-0.049,0.02
0.064,0.024,-0.039,-0.063,0.01,0.044,-0.054,0.049,0.054,-0.034,-0.024,-0.039,0.034
0.066,-0.015,-0.054,-0.039,0.034,0.01,-0.049,0.049,0.054,-0.039,-0.02,-0.034,0.039
0.068,-0.01,-0.059,-0.049,0.034,0.02,-0.054,0.039,0.063,-0.039,-0.024,-0.034,0.044
0.07,-0.005,-0.054,-0.049,0.029,0.02,-0.054,0.039,0.068,-0.029,-0.029,-0.034,0.034
0.072,-0.005,-0.054,-0.049,0.029,0.02,-0.054,0.044,0.063,-0.034,-0.029,-0.034,0.034
0.074,0.01,-0.059,-0.068,0.024,0.039,-0.063,0.044,0.068,-0.034,-0.029,-0.039,0.034
0.076,0.01,-0.059,-0.068,0.024,0.039,-0.063,0.049,0.073,-0.024,-0.02,-0.034,0.039
0.078,-0.005,-0.063,-0.059,0.034,0.024,-0.063,0.049,0.068,-0.024,-0.02,-0.044,0.039
0.08,0.0,-0.054,-0.054,0.029,0.024,-0.054,0.049,0.073,-0.015,-0.005,-0.029,0.054
0.082,0.02,-0.034,-0.054,0.01,0.034,-0.044,0.059,0.083,-0.01,-0.005,-0.029,0.054
0.084,0.02,-0.044,-0.063,0.015,0.039,-0.054,0.049,0.083,-0.015,-0.01,-0.039,0.049
0.086,0.005,-0.049,-0.054,0.024,0.029,-0.054,0.054,0.093,-0.01,-0.005,-0.034,0.049
0.088,0.01,-0.049,-0.059,0.02,0.034,-0.054,0.049,0.098,-0.01,-0.01,-0.034,0.044
0.09,0.0,-0.063,-0.063,0.034,0.029,-0.063,0.044,0.098,-0.015,-0.015,-0.044,0.034
0.092,0.015,-0.068,-0.083,0.029,0.049,-0.078,0.034,0.088,-0.029,-0.024,-0.049,0.024
0.094,0.0,-0.044,-0.044,0.024,0.02,-0.044,0.059,0.112,0.0,0.005,-0.02,0.049
0.096,-0.005,-0.054,-0.049,0.029,0.02,-0.054,0.044,0.107,0.005,0.005,-0.024,0.044
0.098,-0.024,-0.068,-0.044,0.049,0.01,-0.059,0.039,0.102,0.01,0.01,-0.024,0.044
0.1,-0.029,-0.054,-0.024,0.044,-0.005,-0.039,0.049,0.107,0.01,0.02,-0.015,0.054
0.102,-0.01,-0.049,-0.039,0.029,0.015,-0.044,0.054,0.117,0.02,0.02,-0.01,0.063
0.104,0.024,-0.039,-0.063,0.01,0.044,-0.054,0.044,0.112,0.01,0.015,-0.02,0.054
0.106,0.024,-0.039,-0.063,0.01,0.044,-0.054,0.039,0.112,0.01,0.01,-0.02,0.049
0.108,0.024,-0.049,-0.073,0.015,0.049,-0.063,0.039,0.122,0.015,0.01,-0.02,0.049
0.11,0.005,-0.054,-0.059,0.024,0.029,-0.059,0.044,0.127,0.02,0.01,-0.024,0.054
0.112,0.015,-0.044,-0.059,0.015,0.034,-0.054,0.054,0.127,0.024,0.015,-0.01,0.049
0.114,0.054,-0.034,-0.088,-0.01,0.068,-0.063,0.049,0.122,0.02,0.015,-0.015,0.049
0.116,0.034,-0.029,-0.063,0.0,0.049,-0.049,0.059,0.142,0.039,0.029,0.0,0.068
0.118,0.02,-0.044,-0.063,0.015,0.039,-0.054,0.054,0.132,0.039,0.029,-0.01,0.054
0.12,0.039,-0.049,-0.088,0.005,0.063,-0.068,0.039,0.122,0.024,0.024,-0.01,0.054
0.122,0.015,-0.034,-0.049,0.01,0.029,-0.044,0.059,0.142,0.049,0.039,0.01,0.073
0.124,0.015,-0.029,-0.044,0.01,0.029,-0.039,0.054,0.142,0.049,0.039,0.0,0.068
0.126,0.044,-0.02,-0.063,-0.01,0.054,-0.044,0.049,0.142,0.044,0.034,-0.005,0.063
0.128,0.044,-0.02,-0.063,-0.01,0.054,-0.044,0.044,0.151,0.044,0.034,0.0,0.073
0.13,0.034,-0.029,-0.063,0.0,0.049,-0.049,0.049,0.161,0.059,0.034,-0.01,0.063
0.132,0.039,-0.034,-0.073,0.0,0.054,-0.054,0.049,0.166,0.059,0.039,-0.005,0.063
0.134,0.02,-0.039,-0.059,0.01,0.039,-0.049,0.054,0.166,0.059,0.039,0.0,0.059
0.136,0.029,-0.029,-0.059,0.0,0.044,-0.044,0.044,0.161,0.063,0.034,0.0,0.059
0.138,0.034,-0.024,-0.059,-0.005,0.044,-0.044,0.049,0.161,0.068,0.044,0.0,0.063
0.14,0.029,-0.039,-0.068,0.005,0.049,-0.054,0.039,0.161,0.063,0.044,0.0,0.063
0.142,0.015,-0.044,-0.059,0.015,0.034,-0.054,0.044,0.166,0.078,0.049,0.01,0.068
0.144,0.005,-0.029,-0.034,0.015,0.02,-0.034,0.049,0.176,0.088,0.054,0.02,0.078
0.146,0.034,-0.02,-0.054,-0.005,0.044,-0.039,0.044,0.181,0.088,0.059,0.02,0.083
0.148,0.039,-0.02,-0.059,-0.01,0.049,-0.039,0.034,0.181,0.078,0.054,0.02,0.083
